directorId,directorName,movieId
67411,Stan Dragoti,13105
89226,William Nigh,87894
109744,Ryan Polito,297399
52691,Anthony Stacchi,170687
96118,Darren Dunstan,34067
74566,Yves Simoneau,18884
126763,Vivek Agnihotri,394034
116607,Stephen Poliakoff,219466
6111,Mike Figgis,2625
37626,Patrice Leconte,47496
1645102,Jason Miller,268917
545675,Claude Jutra,282298
33722,Ray Danton,68982
73654,Catherine Corsini,126321
76451,Vijay Krishna Acharya,14193
40,Orson Welles,75976
35452,Corey Yuen Kwai,15136
357,Hany Abu-Assad,187028
213485,Andreas Öhman,139575
48566,Alf Sjöberg,18650
45055,Andrew Hulme,266047
1149892,Panos Glykofrydis,283792
1249974,Koji Masunari,37789
120753,Lynn Shores,38457
83996,Bradford May,251630
37948,Brad Anderson,10972
97618,David DeCoteau,26959
150143,Björn Br. Björnsson,54229
985706,Adam Cornelius,91921
57022,Josef Fares,32497
82389,Norman Z. McLeod,121238
1182398,Katrin Ottarsdóttir,146184
21506,George Sidney,33454
1028310,Khavn,298078
3224,Stephen Frears,59517
1308987,Dan Sickles,432607
71923,Shane Acker,12244
1665174,Eric Notarnicola,418979
13615,Harry Elfont,15037
19606,Jean Negulesco,30624
226552,Blair Treu,291854
23227,Steven Knight,210479
1118236,Nabi Ganiyev,364684
48084,Harald Sicheritz,246314
142013,Gareth Evans,94329
26502,Howard Deutch,27472
112674,Rolf de Heer,139075
109253,Costa Botes,32458
6155,Kristoffer Nyholm,338546
124135,Jim Sotos,78552
183,Kouji Morimoto,24675
589507,Ryszard Zatorski,143240
100888,Chuck Jones,67409
120837,Ron Satlof,227667
2388,Jonathan Frakes,14728
1057579,Tatsuya Nagamine,176983
50870,Alexander Kluge,89785
16888,Ralph Nelson,36514
57239,Jeff Lieberman,25241
142594,Les Blank,85642
139540,Gregori Viens,47863
119294,Abbas Kiarostami,54001
1074319,Mojtaba Mirtahmasb,83552
89794,Maxwell Shane,35401
236535,Paul Vecchiali,187602
1294627,Yoo Ha,297721
1384516,Alex Rudzinski,348089
33094,Gary Sherman,10306
25826,Mario Bava,28063
91569,Simon Pummell,111114
70862,Richard Thorpe,215302
1346895,Caito Ortiz,381066
52629,Joseph Ruben,21955
1082114,Timothy Bjorklund,24034
43513,Graham Baker,5470
126714,Arvin Chen,168814
56033,Enzo Barboni,11689
13581,Brian Levant,28597
46959,Frank McDonald,121848
139350,Gail O'Hara,47755
444720,Andrés Baiz,80184
1218304,David Elliott,260916
1540871,Annika Iltis,334495
4109,Michael Curtiz,41465
167436,Camilo Vila,86680
11435,Howard Hawks,24006
1190105,Tom DeNucci,337073
9168,Alan Parker,11615
5872,Joshua Marston,82624
110588,Conrad Rooks,33382
1496450,Ilya Chizhikov,354296
1014557,Frédéric Tellier,307103
19799,Mark Medoff,206042
10346,Robert Bresson,15244
107065,Arthur Marks,87774
1109533,Keva Rosenfeld,253339
138699,Patxi Amézcua,33842
15127,Luchino Visconti,41876
48965,Anthony Hickox,16159
17282,Takashi Miike,4241
84981,Brian Trenchard-Smith,17381
31898,Luciano Salce,37769
69987,Jérôme Salle,14400
86038,Josh Crook,38065
14597,Gaspar Noé,191476
29962,King Vidor,32275
1311707,Shuko Murase,31967
1128289,Thomas Imbach,172003
8246,Barry Levinson,819
26502,Howard Deutch,25269
146512,Thanakorn Pongsuwan,30305
130630,Henri Decoin,63224
18209,Claude Miller,46817
24346,Roy Allen Smith,22154
504,Tim Robbins,687
1105733,Ranjith Sankar,278393
233912,Álvaro Brechner,284050
122673,Wendy Jo Carlton,429876
1492311,Christopher Louie,352492
1338679,Cacau Rhoden,280755
56947,Peggy Rajski,50091
97083,William Klein,66953
6349,Alan J. Pakula,4477
1380177,Michael Dunaway,290304
44866,Edwin S. Porter,94702
53334,Jim Sheridan,10511
95568,Peter Watkins,155130
71551,Lorene Scafaria,88005
969806,Tommi Lepola,19969
1380783,Teemu Kaskinen,300487
135163,Susan Streitfeld,41801
31074,Kinji Fukasaku,34326
14293,Frank Launder,14387
161667,Stuart Hagmann,51956
1037296,Dylan C. Brown,104859
2406,Mathieu Kassovitz,60670
55441,David Boyd,176124
58189,Justin Lin,188927
1210377,Toby Amies,224894
1219158,Scott Smith,231617
40940,Gerald Thomas,5064
4600,Joe Dante,928
1389033,Alex Goyette,305932
548474,Wong Jing,51730
10146,Jacques Tourneur,47404
1157689,Tony Gerber,102041
62941,John Hyams,28510
27977,Leos Carax,191476
55761,Veit Harlan,243860
92015,Lu Chuan,364324
228643,Morgan Neville,360341
12624,Niels Mueller,842
1044,Michael Chapman,13853
144821,Vsevolod Pudovkin,167112
578,Ridley Scott,10534
95148,Sutton Roley,85236
1622145,Mario Bianchi,153035
3702,Sebastian Schipper,320007
75474,Anna Campion,54850
116531,Travis Betz,248781
27977,Leos Carax,8938
3227,Steve Pink,23048
1374852,Eulogio Nishiyama,257604
4617,Andreas Dresen,8906
99049,John Johnson,321377
109586,Tom Hunsinger,77283
98389,Devin McGinn,224815
19346,Niels Arden Oplev,15472
239729,Pavel Arsyonov,115232
1202563,Kelvin Kwan,222832
17268,Ronny Yu,49478
1193907,Anton Lanshakov,210293
70109,Benny Chan,11636
11983,Alain Resnais,54563
102668,Arnold Fanck,29043
1572136,William A. Kirkley,381024
12160,Satyajit Ray,113012
15389,Louis Malle,11799
138006,Frederick Wiseman,114403
97591,Joel Anderson,27374
1445413,Ilya Chaiken,170094
56339,Yoshiaki Kawajiri,15999
562589,Alexandra-Therese Keining,71325
143628,Alla Surikova,59475
234684,Fred Garson,28745
1046507,Demofilo Fidani,150224
87510,Carlos Sorin,29952
236421,Denis Côté,372985
1355652,Aurélien Gerbault,288101
12891,Joss Whedon,91739
25161,Marcel Carné,2457
33317,David Leland,28236
61798,Warwick Ross,174358
20718,Claude Berri,62570
1093690,Franco Lo Cascio,174650
142013,Gareth Evans,180299
143679,Vera Storozheva,66085
30293,Arthur Rosson,3089
569209,Louis Aimé Augustin Le Prince,96882
99325,Stuart Walker,170582
21370,Roger Donaldson,2087
205298,Eric Weston,54099
59023,Stewart Raffill,28994
21506,George Sidney,41609
1709468,Gerard McMurray,426265
54525,Jaume Balagueró,8329
992714,Michael Matessino,92171
32765,Tony Richardson,16103
79279,Paco Cabezas,62077
18844,John Madden,1722
33064,Henry Koster,83098
33300,Jonathan King,32932
1299838,Michael Wilson,258673
182700,Alexander Grasshoff,31074
62303,Henry Crum,10037
1153824,Burton King,171432
57833,Koan Hui On,406429
30058,Steven C. Miller,291290
12180,Mamoru Oshii,45554
1186851,Stéphane Berla,204436
2765,Nicholas Ray,48646
1615516,John Palmer,36799
96166,John Curran,14202
1744,Robert Wise,10514
141962,David Bruckner,13059
109314,Don Hertzfeldt,303867
30309,Peter Greenaway,3097
40599,Robert Day,17604
16863,Todd Haynes,47620
81297,Mark Atkins,333545
7499,Jared Leto,127853
1330498,Rania Attieh,289180
99859,Tim McCann,35851
21712,Carl Franklin,2116
114109,Matt Vancil,287281
548066,Kwon Nam-Ki,54558
62897,Carl Bessai,22812
57214,Prachya Pinkaew,110552
1071,Tom Tykwer,11193
107720,Dmitriy Kiselev,440642
102214,John Carr,49352
118303,Nacho Vigalondo,267806
18204,Peter Kassovitz,2290
18533,Errol Morris,30142
5174,Barry Sonnenfeld,607
133259,Arthur Hiller,20444
51866,Rick Famuyiwa,308639
1200020,Delphine Lehericey,42316
1031204,Sólveig Anspach,102533
10610,Gregory Ratoff,31868
3224,Stephen Frears,27857
1090,John McTiernan,1911
8820,Joseph Henabery,335450
97567,Graham Cutts,143534
144536,Shinsuke Sato,56832
34751,Ray Enright,188001
98199,Jerry Schatzberg,44772
89226,William Nigh,136525
12238,David Lean,907
76021,Griff Furst,293828
84978,Joe Tornatore,59744
71871,Sergei Bodrov Jr.,49943
133873,Aisling Walsh,359305
102511,Attila Dargay,40993
1166744,Frank Ishizaki,422551
23683,Tony Cervone,32916
813,Pierre Unik,45537
61440,Lance Bangs,255885
131184,Phillip J. Roth,64278
31654,Chris Smith,3396
46712,Douglas Sirk,43316
31024,Betty Thomas,9293
1059261,Norman Lee,360808
105866,Marco Bellocchio,314400
19328,Dick Powell,45520
1630053,Darin Beckstead,62196
230542,Ivan Sen,393834
4723,Brian Helgeland,276907
40345,Don Bluth,35614
1038646,Gréta Olafsdóttir,105778
119405,Min-Ho Cho,45083
155598,Leslie Libman,417263
1368165,Belinda Sallin,295317
227438,Stephen Anderson,51162
82389,Norman Z. McLeod,25694
1441577,Bitte Andersson,324436
583203,Tomoyuki Takimoto,19063
1065008,E. Niwas,117099
56983,Rodney Gibbons,81382
35256,Damiano Damiani,37316
13848,Charlie Chaplin,2984
1368957,Michael Paris,295627
66739,Jonathan Liebesman,10727
57581,Neil Marshall,306964
87009,Del Shores,19094
6593,John Huston,41089
1305564,Martti Helde,262009
588229,Ranjith,120149
237583,Juan Martínez Moreno,63615
1074721,Enrique Gato,300602
28523,Dietrich Brüggemann,346239
150519,Will Cowan,47001
